model	role	harness	thinking	correct	n	accuracy	tokens_total	tokens_median	tokens_mean	truncated	no_answer	no_letter_in_top20	request_errors	max_tokens	seconds
qwen3.5-9b	eichung	logprob	off	136	150	0.9067	150	1	1.0	0	0	0	0	1	34.4
qwen3.5-9b	eichung	generate	off	136	150	0.9067	2458	4	16.4	1	0	0	0	1024	54.9
qwen3.5-9b	eichung	generate	on	137	150	0.9133	519169	1119	3461.1	0	0	0	0	16384	5460.7
gemma-4-12b	eichung	logprob	off	138	150	0.92	150	1	1.0	0	0	0	0	1	48.1
gemma-4-12b	eichung	generate	off	140	150	0.9333	10223	48	68.2	0	0	0	0	1024	184.8
gemma-4-12b	eichung	generate	on	135	150	0.9	377808	535	2518.7	0	0	0	0	16384	5528.9
ornith-9b	neu	logprob	off	131	150	0.8733	150	1	1.0	0	0	0	0	1	32.5
ornith-9b	neu	generate	off	136	150	0.9067	16218	73	108.1	3	0	0	0	1024	195.5
ornith-9b	neu	generate	on	127	150	0.8467	87586	343	583.9	0	0	0	0	16384	923.4
gpt-oss-20b	neu	logprob	off	32	150	0.2133	150	1	1.0	0	0	90	0	1	22.0
gpt-oss-20b	neu	generate	off	139	150	0.9267	47336	241	315.6	8	0	0	0	1024	273.2
gpt-oss-20b	neu	generate	on	139	150	0.9267	96512	237	643.4	0	0	0	0	16384	550.4
mistral-small-3.2-24b	neu	logprob	off	136	150	0.9067	150	1	1.0	0	0	0	0	1	40.0
mistral-small-3.2-24b	neu	generate	off	140	150	0.9333	1092	5	7.3	0	0	0	0	1024	55.9
mistral-small-3.2-24b	neu	generate	on	140	150	0.9333	1092	5	7.3	0	0	0	0	16384	56.1
qwen3.5-27b	neu	logprob	off	143	150	0.9533	150	1	1.0	0	0	0	0	1	92.2
qwen3.5-27b	neu	generate	off	143	150	0.9533	600	4	4.0	0	0	0	0	1024	106.4
qwen3.5-27b	neu	generate	on	141	150	0.94	638225	2276	4254.8	0	0	0	0	16384	17370.9
gemma-4-26b-a4b	neu	logprob	off	140	150	0.9333	150	1	1.0	0	0	0	0	1	42.0
gemma-4-26b-a4b	neu	generate	off	141	150	0.94	12652	59	84.3	0	0	0	0	1024	139.6
gemma-4-26b-a4b	neu	generate	on	143	150	0.9533	273733	653	1824.9	0	0	0	0	16384	2378.2
ornith-35b	neu	logprob	off	146	150	0.9733	150	1	1.0	0	0	0	0	1	39.2
ornith-35b	neu	generate	off	142	150	0.9467	32472	150	216.5	3	0	0	0	1024	290.8
ornith-35b	neu	generate	on	114	150	0.76	194493	1264	1296.6	0	0	0	0	16384	1539.2
qwen3.6-35b-a3b	neu	logprob	off	145	150	0.9667	150	1	1.0	0	0	0	0	1	41.3
qwen3.6-35b-a3b	neu	generate	off	144	150	0.96	29585	123	197.2	6	0	0	0	1024	272.6
qwen3.6-35b-a3b	neu	generate	on	132	150	0.88	232101	1463	1547.3	0	0	0	0	16384	1853.1
kimi-linear-48b-a3b	neu	logprob	off	134	150	0.8933	150	1	1.0	0	0	0	0	1	234.6
kimi-linear-48b-a3b	neu	generate	off	133	150	0.8867	20825	98	138.8	1	1	0	0	1024	1242.7
kimi-linear-48b-a3b	neu	generate	on	133	150	0.8867	35893	98	239.3	0	1	0	0	16384	1969.0
qwen3.8-27b	neu	logprob	off	143	150	0.9533	150	1	1.0	0	0	0	0	1	95.7
qwen3.8-27b	neu	generate	off	145	150	0.9667	28884	109	192.6	4	0	0	0	1024	897.6
qwen3.8-27b	neu	generate	on	137	150	0.9133	59044	176	393.6	0	0	0	0	16384	1718.2
qwen3.8-27b	effort-low	generate	on	138	150	0.92	46187	-	-	-	0	-	-	16384	1364.6
qwen3.8-27b	effort-medium	generate	on	138	150	0.92	53626	-	-	-	0	-	-	16384	1571.3
qwen3.8-27b	effort-xhigh	generate	on	139	150	0.9267	45637	-	-	-	0	-	-	16384	1343.2
