model	harness	thinking	correct	n	accuracy	tokens_total	tokens_median	tokens_mean	truncated	no_answer	no_letter_in_top20	thinking_switch	max_tokens	seconds
nanbeige-4.2-3b	logprob	off	114	150	0.760	150	1	1.0	0	0	0	accepted	8192	-
nanbeige-4.2-3b	generate	off	125	150	0.833	-	-	-	-	-	-	accepted	1024	-
nanbeige-4.2-3b	generate	on	135	150	0.900	-	-	-	-	-	-	accepted	8192	-
qwen3.5-9b	logprob	off	136	150	0.9067	150	1	1.0	0	0	0	accepted	8192	31.0
qwen3.5-9b	generate	off	136	150	0.9067	2458	4	16.4	1	0	0	accepted	1024	54.5
qwen3.5-9b	generate	on	132	150	0.88	393474	1124	2623.2	25	0	0	accepted	8192	4064.2
qwen3-30b-a3b	logprob	off	136	150	0.9067	150	1	1.0	0	0	0	accepted	8192	22.7
qwen3-30b-a3b	generate	off	140	150	0.9333	878	5	5.9	0	0	0	accepted	1024	29.9
qwen3-30b-a3b	generate	on	140	150	0.9333	879	5	5.9	0	0	0	accepted	8192	23.2
gemma-4-12b	logprob	off	139	150	0.9267	150	1	1.0	0	0	0	accepted	8192	44.3
gemma-4-12b	generate	off	141	150	0.94	10028	46	66.9	0	0	0	accepted	1024	182.6
gemma-4-12b	generate	on	140	150	0.9333	232092	569	1547.3	17	0	0	accepted	8192	3360.3
deepseek-r1-14b	logprob	off	32	150	0.2133	150	1	1.0	0	0	147	accepted	8192	31.6
deepseek-r1-14b	generate	off	132	150	0.88	71141	397	474.3	19	1	0	accepted	1024	1023.6
deepseek-r1-14b	generate	on	137	150	0.9133	144935	397	966.2	9	0	0	accepted	8192	2083.8
qwen3.6-27b	logprob	off	140	150	0.9333	150	1	1.0	0	0	0	accepted	8192	90.7
qwen3.6-27b	generate	off	141	150	0.94	1621	4	10.8	0	0	0	accepted	1024	130.8
qwen3.6-27b	generate	on	143	150	0.9533	214064	1387	1427.1	0	0	0	accepted	8192	5817.6
