model	build	arch	harness	n	correct	accuracy	tokens_total	seconds
ling-3.0-tiny	v0.2.0	bailingmoe3	logprob	150	131	0.8733	150	21.6
ling-3.0-tiny	v0.2.0	bailingmoe3	generate	150	123	0.82	2620	34.0
granite-4.2-30b	v0.2.0	granite	logprob	150	129	0.86	150	57.3
granite-4.2-30b	v0.2.0	granite	generate	150	134	0.8933	750	76.7
gemma-4-31b	v0.2.0	gemma4	logprob	150	140	0.9333	150	121.4
gemma-4-31b	v0.2.0	gemma4	generate	150	143	0.9533	9454	415.8
qwen3.5-35b-a3b	v0.2.0	qwen35moe	logprob	150	142	0.9467	150	44.8
qwen3.5-35b-a3b	v0.2.0	qwen35moe	generate	150	145	0.9667	23574	234.3
nemotron-3.5-lightning-30b-a3b	v0.2.0	nemotron_h_moe	logprob	150	133	0.8867	150	48.9
nemotron-3.5-lightning-30b-a3b	v0.2.0	nemotron_h_moe	generate	150	131	0.8733	750	53.1
granite-4.2-30b	b10273	granite	logprob	150	129	0.86	150	58.5
granite-4.2-30b	b10273	granite	generate	150	134	0.8933	750	75.2
gemma-4-31b	b10273	gemma4	logprob	150	140	0.9333	150	115.3
gemma-4-31b	b10273	gemma4	generate	150	143	0.9533	9454	400.2
qwen3.5-35b-a3b	b10273	qwen35moe	logprob	150	142	0.9467	150	42.4
qwen3.5-35b-a3b	b10273	qwen35moe	generate	150	145	0.9667	23574	229.0
nemotron-3.5-lightning-30b-a3b	b10273	nemotron_h_moe	logprob	150	133	0.8867	150	45.8
nemotron-3.5-lightning-30b-a3b	b10273	nemotron_h_moe	generate	150	131	0.8733	750	50.0
