slug	format	pass1	pass2	wellformed	malformed	sec_per_case	total_cases
qwen2.5-coder-32b	diff	4.0	8.4	80.9	75	881.8	225
qwen3-coder-30b-a3b	diff	12.9	22.7	98.7	4	40.5	225
devstral-2507	diff	1.8	6.7	93.3	21	98.7	225
qwen2.5-coder-14b	diff	2.2	5.8	85.3	108	62.9	225
deepseek-coder-v2-lite	diff	1.3	1.8	20.9	633	221.9	225
codestral-22b	diff	1.8	2.2	83.6	43	140.2	225
mistral-small-3.2-24b	diff	1.8	4.0	86.2	54	79.7	225
olympiccoder-32b	diff	ABORTED	ABORTED	-	-	2298	2_of_225
deepcoder-14b	diff	0.9	2.7	88.4	54	188.8	225
yi-coder-9b	diff	3.6	4.0	69.8	171	34.0	225
qwen3.6-27b	diff	15.1	23.6	100.0	0	374.5	225
gemma-4-26b-a4b	diff	FAILED	FAILED	-	-	696	7_of_225
gemma-4-12b	diff	FAILED	FAILED	-	-	>1740	0_of_225
ornith-9b	diff	7.6	20.4	96.0	9	74.9	225
ornith-35b	diff	24.9	43.1	97.8	5	91.9	225
kimi-linear-48b-a3b	diff	4.9	12.0	90.7	38	72.7	225
qwen3.6-35b-a3b	diff	14.7	22.7	100.0	0	142.3	225
qwen3.5-27b	diff	25.3	49.3	98.2	4	287.5	225
qwen3.6-27b-slot32k	diff	38.2	74.2	100.0	0	797.5	225
qwen3.6-35b-a3b-slot32k	diff	28.9	62.7	98.7	3	311.3	225
qwen3-coder-30b-a3b-slot32k	diff	12.9	32.0	95.6	17	94.0	225
ornith-35b-slot32k	diff	28.4	61.8	96.9	7	220.2	225
qwen3.6-27b-slot32k-q8	diff	34.2	72.9	100.0	0	806.9	225
qwopus3.6-35b-a3b-slot32k	diff	10.2	36.0	97.8	5	630.5	225
qwen3.8-27b-slot32k	diff	PARTIAL	PARTIAL	-	-	1110	61_of_225
qwen3.8-27b-nothink-slot32k	diff	PARTIAL	PARTIAL	-	-	1140	38_of_225
