model	depth	flash_attn	pp2048	tg128	mean_watt_chip	mwh	samples
llama-3.2-3b	0	on	6400.5	252.22	186.7	114.6	3
llama-3.2-3b	4096	on	4833.0	212.07	235.0	188.8	4
llama-3.2-3b	16384	on	2731.5	158.13	204.2	227.6	5
llama-3.2-3b	32768	on	1732.7	112.66	174.6	298.9	7
qwen3.5-9b	0	on	2712.4	107.94	289.7	403.2	6
qwen3.5-9b	4096	on	2511.1	104.74	274.6	456.2	7
qwen3.5-9b	16384	on	2110.4	98.41	260.0	434.7	7
qwen3.5-9b	32768	on	1734.3	91.96	243.6	471.4	8
qwen3-30b-a3b	0	on	2825.5	196.46	272.8	308.8	5
qwen3-30b-a3b	4096	on	2089.3	170.16	247.3	349.2	6
qwen3-30b-a3b	16384	on	1154.5	131.99	222.3	509.5	9
qwen3-30b-a3b	32768	on	721.3	107.29	211.0	725.3	13
qwen3.5-9b	0	off	2671.7	106.73	279.5	394.0	6
qwen3.5-9b	32768	off	1567.3	77.64	248.9	556.1	9
kimi-linear-48b-a3b	0	on	332.1	20.69	149.8	1507.0	37
kimi-linear-48b-a3b	4096	on	328.1	20.67	156.3	1610.3	38
kimi-linear-48b-a3b	16384	on	303.0	14.61	156.7	2022.3	47
kimi-linear-48b-a3b	32768	on	40.3	12.31	138.8	7059.0	183
qwen3.5-27b	0	on	837.0	39.09	289.6	1374.5	18
qwen3.5-27b	4096	on	779.3	38.23	279.9	1330.0	18
qwen3.5-27b	16384	on	681.8	36.66	271.4	1434.4	20
qwen3.5-27b	32768	on	560.9	34.46	254.4	1491.9	22
ornith-35b	0	on	2626.3	140.15	266.2	377.6	6
ornith-35b	4096	on	2466.7	134.58	265.2	371.9	6
ornith-35b	16384	on	1998.1	126.45	250.3	420.7	7
ornith-35b	32768	on	1580.5	117.69	249.9	481.3	8
qwen3.6-35b-a3b	0	on	2631.3	138.46	257.8	372.2	6
qwen3.6-35b-a3b	4096	on	2470.3	132.87	241.3	353.1	6
qwen3.6-35b-a3b	16384	on	1994.7	123.81	253.1	426.4	7
qwen3.6-35b-a3b	32768	on	1577.9	115.92	253.4	486.4	8
qwen3.8-27b-abl	0	on	803.8	39.47	283.7	1354.8	18
qwen3.8-27b-abl	4096	on	773.4	38.63	276.5	1321.7	18
qwen3.8-27b-abl	16384	on	689.0	37.14	268.5	1427.0	20
qwen3.8-27b-abl	32768	on	577.1	34.97	258.5	1505.1	22
qwen3.8-27b	0	on	821.7	39.07	282.3	1352.1	18
qwen3.8-27b	4096	on	785.7	38.34	281.2	1334.3	18
qwen3.8-27b	16384	on	681.4	36.51	272.0	1437.1	20
qwen3.8-27b	32768	on	572.9	34.43	259.1	1510.2	22
