model	pooling	variant	position	correct	n	accuracy	chunk_tokens_mean	truncated
bge-m3	cls	short	-	77	80	0.9625	~135	0
mankei-326m-embedder	last	short	-	70	80	0.8750	120	0
bge-m3	cls	long3000	start	48	80	0.6000	~760	0
bge-m3	cls	long3000	middle	5	80	0.0625	~760	0
bge-m3	cls	long3000	end	4	80	0.0500	~760	0
bge-m3	mean	long3000	start	24	80	0.3000	~760	0
bge-m3	mean	long3000	middle	10	80	0.1250	~760	0
bge-m3	mean	long3000	end	9	80	0.1125	~760	0
mankei-326m-embedder	last	long3000	start	10	80	0.1250	694	0
mankei-326m-embedder	last	long3000	middle	13	80	0.1625	697	0
mankei-326m-embedder	last	long3000	end	23	80	0.2875	692	0
mankei-326m-embedder	last	long3000_trunc256	end	0	80	0.0000	692	80
