state	second	gpu_temp_c	gpu_clock_mhz	gpu_util_pct	cpu_temp_c
before-service	1	52	135	0	69
before-service	6	60	1084	100	64
before-service	11	62	1084	100	65
before-service	16	64	1084	100	75
before-service	21	66	1084	100	67
before-service	26	66	1084	100	67
before-service	31	67	1084	100	68
before-service	36	69	1084	100	70
before-service	41	69	1084	100	69
before-service	46	69	1084	100	70
before-service	51	70	1084	100	81
before-service	56	71	1084	100	73
before-service	61	71	1084	100	71
before-service	66	72	1084	100	77
before-service	71	72	1084	100	72
before-service	76	72	1084	100	72
before-service	81	72	1084	100	77
before-service	86	73	1084	100	74
before-service	91	73	1084	100	71
before-service	96	73	1084	100	71
before-service	101	74	1084	100	76
before-service	106	74	1084	100	74
before-service	111	73	1084	100	71
before-service	116	74	1084	100	84
before-service	121	74	1084	100	75
before-service	126	74	1084	100	74
before-service	131	74	1084	100	80
before-service	136	74	1084	100	73
before-service	141	74	1084	100	74
before-service	146	74	1084	100	74
before-service	151	74	1084	100	74
before-service	156	74	1084	100	73
before-service	161	74	1084	100	73
before-service	166	75	1084	100	83
before-service	171	75	1084	100	73
before-service	176	75	1084	100	73
before-service	181	75	1084	100	83
before-service	186	75	1084	100	77
before-service	191	75	1084	100	73
before-service	196	75	1084	100	79
before-service	201	75	1084	100	75
before-service	206	75	1084	100	76
before-service	212	75	1084	100	74
before-service	217	75	1084	100	75
before-service	222	75	1084	100	74
before-service	227	75	1084	100	75
before-service	232	75	1084	100	84
before-service	237	75	1084	100	74
before-service	242	75	1084	100	75
before-service	247	75	1084	100	84
before-service	252	75	1084	100	74
before-service	257	76	1084	100	75
before-service	262	75	1084	100	75
before-service	267	76	1084	100	75
before-service	272	75	1084	100	73
before-service	277	75	1084	100	73
before-service	282	75	1084	100	78
before-service	287	75	1084	100	76
before-service	292	75	1084	100	73
before-service	297	75	1084	100	79
before-service	302	75	1084	100	75
before-service	307	75	1084	100	75
before-service	312	75	1084	100	79
before-service	317	76	1084	100	75
before-service	322	76	1084	100	77
before-service	327	76	1084	100	74
before-service	332	76	1084	100	76
before-service	337	76	1084	100	76
before-service	342	76	1084	100	76
before-service	347	76	1084	100	86
before-service	352	76	1084	100	76
before-service	357	76	1084	100	75
before-service	362	76	1084	100	85
before-service	367	77	1084	100	75
before-service	372	77	1084	100	76
before-service	377	76	1084	100	75
before-service	382	77	1084	100	76
before-service	387	77	1084	100	76
before-service	392	77	1084	100	75
before-service	397	77	1084	100	79
before-service	402	76	1084	100	76
before-service	407	76	1084	100	75
before-service	413	77	1084	100	87
before-service	418	77	1084	100	76
before-service	423	77	1084	100	76
before-service	428	77	1084	100	86
before-service	433	77	1084	100	77
before-service	438	77	1084	100	76
before-service	443	77	1084	100	77
before-service	448	77	1084	100	77
before-service	453	77	1084	100	77
before-service	458	78	1084	100	77
before-service	463	77	1084	100	89
before-service	468	77	1084	100	76
before-service	473	77	1084	100	76
before-service	478	77	1084	100	87
before-service	483	77	1084	100	76
before-service	488	77	1084	100	77
before-service	493	77	1084	100	84
before-service	498	78	1084	100	77
before-service	503	77	1084	100	77
before-service	508	77	1084	100	76
before-service	513	78	1084	100	82
before-service	518	78	1084	100	77
before-service	523	78	1084	100	77
before-service	528	78	1084	100	87
before-service	533	78	1084	100	78
before-service	538	78	1084	100	77
before-service	543	78	1084	100	82
before-service	548	78	1084	100	76
before-service	553	78	1084	100	77
before-service	558	78	1084	100	78
before-service	563	78	1084	100	77
before-service	568	78	1084	100	78
before-service	573	78	1084	100	77
before-service	578	78	1084	100	88
before-service	583	78	1084	100	78
before-service	588	78	1084	100	77
before-service	593	78	1084	100	82
before-service	598	78	1084	100	77
before-service	603	78	1084	100	78
before-service	608	78	1084	100	81
before-service	613	78	1084	100	78
before-service	619	78	1084	100	78
before-service	624	78	1084	100	77
before-service	629	78	1084	100	77
before-service	634	78	1084	100	77
before-service	639	78	1084	100	76
before-service	644	78	1084	100	87
before-service	649	78	1084	100	78
before-service	654	78	1084	100	79
before-service	659	78	1084	100	86
before-service	664	78	1084	100	79
before-service	669	78	1084	100	77
before-service	674	78	1084	100	75
before-service	679	78	1084	100	79
before-service	684	78	1084	100	76
before-service	689	78	1084	100	75
before-service	694	78	1084	100	80
before-service	699	78	1084	100	77
before-service	704	77	1084	100	75
before-service	709	77	1084	100	83
before-service	714	78	1084	100	75
before-service	719	78	1084	100	75
before-service	724	77	1084	100	76
