datum	build	pp2048	tg128	pp4096@d8192	tg256	hash
2026-08-23	70adb1b4c	2675.92	107.00	2168.78	100.42	e3b0c44298fc1c14
2026-08-23	8a35040e0	2696.04	107.00	2198.17	102.73	40beccc6ee14a703
2026-08-23	b10273	2687.03	107.70	2162.85	101.66	40beccc6ee14a703
2026-08-23	v0.2.0	2694.58	107.02	2187.36	102.31	40beccc6ee14a703
2026-08-24	b10273	2712.33	108.43	2187.19	101.73	40beccc6ee14a703
2026-08-24	c1c766da5	2692.79	107.89	2187.43	101.56	e3b0c44298fc1c14
2026-08-24	v0.2.0	2714.14	107.79	2209.47	103.45	40beccc6ee14a703
2026-08-25	b10273	2679.95	107.27	2154.41	102.07	40beccc6ee14a703
2026-08-25	f280b2698	2673.02	108.37	2157.00	100.56	e3b0c44298fc1c14
2026-08-25	v0.2.0	2690.81	106.87	2179.64	101.56	40beccc6ee14a703
2026-08-26	b10273	2680.28	107.40	2150.12	101.25	11cc155c5d27275f
2026-08-26	d222767c7	2669.35	106.17	2157.72	100.93	11cc155c5d27275f
2026-08-26	v0.2.0	2689.25	107.16	2178.25	101.54	11cc155c5d27275f
2026-08-27	925e11799	2682.71	106.51	2191.79	101.07	11cc155c5d27275f
2026-08-27	b10273	2698.82	108.56	2190.94	102.46	11cc155c5d27275f
2026-08-27	v0.2.0	2712.36	108.78	2213.16	101.24	11cc155c5d27275f
2026-08-28	b10273	2702.83	107.95	2184.98	102.04	11cc155c5d27275f
2026-08-28	e70802a01	2691.88	107.43	2195.76	101.36	11cc155c5d27275f
2026-08-28	v0.2.0	2712.35	107.23	2217.88	101.65	11cc155c5d27275f
2026-08-29	b10273	2699.83	108.01	2176.71	101.90	11cc155c5d27275f
2026-08-29	d7bd3bfca	2675.51	107.81	2186.93	101.26	11cc155c5d27275f
2026-08-29	v0.2.0	2712.42	107.34	2210.29	101.50	11cc155c5d27275f
2026-08-30	b10273	2693.27	107.33	2185.89	101.44	11cc155c5d27275f
2026-08-30	c841aeeb8	2672.89	106.25	2189.75	101.57	11cc155c5d27275f
2026-08-30	v0.2.0	2704.66	107.04	2210.17	101.34	11cc155c5d27275f
2026-09-02	3466812d1	2673.48	106.22	2188.13	100.80	11cc155c5d27275f
2026-09-02	b10273	2698.98	107.46	2180.48	102.52	11cc155c5d27275f
2026-09-02	v0.2.0	2705.47	106.74	2212.82	101.65	11cc155c5d27275f
2026-09-03	159b74142	2669.51	106.23	2177.74	101.62	11cc155c5d27275f
2026-09-03	b10273	2694.35	106.63	2179.41	101.13	11cc155c5d27275f
2026-09-03	v0.2.0	2706.51	107.62	2204.69	100.97	11cc155c5d27275f
2026-09-04	b10273	2689.43	108.22	2161.10	101.19	11cc155c5d27275f
2026-09-04	d230ddd76	2670.66	108.03	2265.51	100.65	11cc155c5d27275f
2026-09-04	v0.2.0	2683.13	107.43	2186.86	101.49	11cc155c5d27275f
2026-09-05	427291b5b	2669.19	106.78	2275.89	101.39	11cc155c5d27275f
2026-09-05	74a7c897f	2642.14	105.80	2241.59	101.28	11cc155c5d27275f
2026-09-05	b10273	2659.72	106.37	2130.87	101.08	11cc155c5d27275f
2026-09-05	v0.2.0	2661.54	107.66	2154.93	100.31	11cc155c5d27275f
2026-09-07	465e49b9c	2642.03	104.82	2256.76	99.76	11cc155c5d27275f
2026-09-07	67672dc5b	2690.70	104.96	2307.69	101.66	11cc155c5d27275f
2026-09-07	b10273	2709.88	108.13	2201.97	102.37	11cc155c5d27275f
2026-09-07	v0.2.0	2722.40	109.22	2229.33	101.92	11cc155c5d27275f
2026-09-08	050dde50c	2694.04	105.59	2307.39	102.53	11cc155c5d27275f
2026-09-08	b10273	2710.94	107.77	2200.81	102.28	11cc155c5d27275f
2026-09-08	v0.2.0	2724.37	108.09	2232.13	101.81	11cc155c5d27275f
2026-09-10	b10273	2691.17	108.37	2187.01	101.92	11cc155c5d27275f
2026-09-10	df03399b8	2772.03	109.82	2363.99	104.41	11cc155c5d27275f
2026-09-10	v0.2.0	2706.46	107.45	2213.55	101.50	11cc155c5d27275f
