key	host	time	test	card	backend	build	parameter	value	unit	note
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:none:tg	LLMWorkerHost	2026-08-26T00:38:58+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:none:tg	43.18	tokens/s	
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:none:hash	LLMWorkerHost	2026-08-26T00:38:58+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:none:hash	b73ed32791d28eb5		256 tokens at temperature 0
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:ngram-simple:tg	LLMWorkerHost	2026-08-26T00:39:14+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:ngram-simple:tg	39.87	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:ngram-mod:tg	LLMWorkerHost	2026-08-26T00:39:30+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:ngram-mod:tg	38.94	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:ngram-map-k:tg	LLMWorkerHost	2026-08-26T00:39:46+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:ngram-map-k:tg	38.61	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:draft-simple+bge-m3-Q8_0:tg	LLMWorkerHost	2026-08-26T00:40:03+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:draft-simple+bge-m3-Q8_0:tg	42.27	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:draft-simple+bge-reranker-v2-m3-Q8_0:tg	LLMWorkerHost	2026-08-26T00:40:20+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:draft-simple+bge-reranker-v2-m3-Q8_0:tg	40.86	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:draft-simple+Llama-3.2-3B-Instruct-Q4_K_M:tg	LLMWorkerHost	2026-08-26T00:40:39+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:draft-simple+Llama-3.2-3B-Instruct-Q4_K_M:tg	43.74	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:draft-simple+Mankei-1B-Chat-q4_k_m:tg	LLMWorkerHost	2026-08-26T00:40:56+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:draft-simple+Mankei-1B-Chat-q4_k_m:tg	47.27	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:draft-simple+Nanbeige4.2-3B-Q4_K_M:tg	LLMWorkerHost	2026-08-26T00:41:15+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:draft-simple+Nanbeige4.2-3B-Q4_K_M:tg	43.27	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:draft-simple+nomic-embed-text-v1.5.Q8_0:tg	LLMWorkerHost	2026-08-26T00:41:31+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:draft-simple+nomic-embed-text-v1.5.Q8_0:tg	42.39	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:draft-simple+Qwen3-ASR-1.7B-Q8_0:tg	LLMWorkerHost	2026-08-26T00:41:50+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:draft-simple+Qwen3-ASR-1.7B-Q8_0:tg	44.58	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:prose:draft-simple+sd3.5_medium-Q4_K_M	LLMWorkerHost	2026-08-26T00:41:55+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:prose:draft-simple+sd3.5_medium-Q4_K_M	failed		0.04.376.470 E srv  llama_server: exiting due to model loading error
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:none:tg	LLMWorkerHost	2026-08-26T00:42:18+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:none:tg	46.18	tokens/s	
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:none:hash	LLMWorkerHost	2026-08-26T00:42:18+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:none:hash	1a933a96b1154b53		256 tokens at temperature 0
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-simple:tg	LLMWorkerHost	2026-08-26T00:42:42+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-simple:tg	39.74	tokens/s	0.86x baseline; acceptance 0.021
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-simple:wording	LLMWorkerHost	2026-08-26T00:42:42+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-simple:wording	identical		hash 1a933a96b1154b53 vs baseline 1a933a96b1154b53
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-simple@r2:tg	LLMWorkerHost	2026-08-26T00:43:07+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-simple@r2:tg	39.61	tokens/s	0.86x baseline; acceptance 0.021
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-simple@r2:wording	LLMWorkerHost	2026-08-26T00:43:07+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-simple@r2:wording	identical		hash 1a933a96b1154b53 vs baseline 1a933a96b1154b53
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-simple@r3:tg	LLMWorkerHost	2026-08-26T00:43:30+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-simple@r3:tg	39.57	tokens/s	0.86x baseline; acceptance 0.021
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-simple@r3:wording	LLMWorkerHost	2026-08-26T00:43:30+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-simple@r3:wording	identical		hash 1a933a96b1154b53 vs baseline 1a933a96b1154b53
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-mod:tg	LLMWorkerHost	2026-08-26T00:43:54+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-mod:tg	37.45	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-map-k:tg	LLMWorkerHost	2026-08-26T00:44:18+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-map-k:tg	39.29	tokens/s	0.85x baseline; acceptance 0.021
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-map-k:wording	LLMWorkerHost	2026-08-26T00:44:18+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-map-k:wording	identical		hash 1a933a96b1154b53 vs baseline 1a933a96b1154b53
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-map-k@r2:tg	LLMWorkerHost	2026-08-26T00:44:42+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-map-k@r2:tg	39.74	tokens/s	0.86x baseline; acceptance 0.021
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-map-k@r2:wording	LLMWorkerHost	2026-08-26T00:44:42+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-map-k@r2:wording	identical		hash 1a933a96b1154b53 vs baseline 1a933a96b1154b53
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-map-k@r3:tg	LLMWorkerHost	2026-08-26T00:45:05+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-map-k@r3:tg	38.07	tokens/s	0.82x baseline; acceptance 0.021
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:ngram-map-k@r3:wording	LLMWorkerHost	2026-08-26T00:45:05+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:ngram-map-k@r3:wording	identical		hash 1a933a96b1154b53 vs baseline 1a933a96b1154b53
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:draft-simple+bge-m3-Q8_0:tg	LLMWorkerHost	2026-08-26T00:45:30+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:draft-simple+bge-m3-Q8_0:tg	46.18	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:draft-simple+bge-reranker-v2-m3-Q8_0:tg	LLMWorkerHost	2026-08-26T00:45:54+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:draft-simple+bge-reranker-v2-m3-Q8_0:tg	45.32	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:draft-simple+Llama-3.2-3B-Instruct-Q4_K_M:tg	LLMWorkerHost	2026-08-26T00:46:21+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:draft-simple+Llama-3.2-3B-Instruct-Q4_K_M:tg	46.68	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:draft-simple+Mankei-1B-Chat-q4_k_m:tg	LLMWorkerHost	2026-08-26T00:46:46+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:draft-simple+Mankei-1B-Chat-q4_k_m:tg	43.89	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:draft-simple+Nanbeige4.2-3B-Q4_K_M:tg	LLMWorkerHost	2026-08-26T00:47:15+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:draft-simple+Nanbeige4.2-3B-Q4_K_M:tg	41.83	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:draft-simple+nomic-embed-text-v1.5.Q8_0:tg	LLMWorkerHost	2026-08-26T00:47:40+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:draft-simple+nomic-embed-text-v1.5.Q8_0:tg	42.51	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:draft-simple+Qwen3-ASR-1.7B-Q8_0:tg	LLMWorkerHost	2026-08-26T00:48:06+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:draft-simple+Qwen3-ASR-1.7B-Q8_0:tg	47.11	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|gemma-4-12b-it-Q4_K_M:code:draft-simple+sd3.5_medium-Q4_K_M	LLMWorkerHost	2026-08-26T00:48:11+0200	speculative		vulkan	v0.2.0	gemma-4-12b-it-Q4_K_M:code:draft-simple+sd3.5_medium-Q4_K_M	failed		0.03.798.246 E srv  llama_server: exiting due to model loading error
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:none:tg	LLMWorkerHost	2026-08-26T00:48:31+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:none:tg	44.60	tokens/s	
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:none:hash	LLMWorkerHost	2026-08-26T00:48:31+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:none:hash	b1b72eae8c9b1780		256 tokens at temperature 0
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple:tg	LLMWorkerHost	2026-08-26T00:48:44+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple:tg	43.96	tokens/s	0.99x baseline; acceptance 0.140
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple:wording	LLMWorkerHost	2026-08-26T00:48:44+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple:wording	identical		hash b1b72eae8c9b1780 vs baseline b1b72eae8c9b1780
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple@r2:tg	LLMWorkerHost	2026-08-26T00:48:57+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple@r2:tg	43.12	tokens/s	0.97x baseline; acceptance 0.140
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple@r2:wording	LLMWorkerHost	2026-08-26T00:48:57+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple@r2:wording	identical		hash b1b72eae8c9b1780 vs baseline b1b72eae8c9b1780
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple@r3:tg	LLMWorkerHost	2026-08-26T00:49:10+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple@r3:tg	44.47	tokens/s	1.00x baseline; acceptance 0.140
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple@r3:wording	LLMWorkerHost	2026-08-26T00:49:10+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-simple@r3:wording	identical		hash b1b72eae8c9b1780 vs baseline b1b72eae8c9b1780
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-mod:tg	LLMWorkerHost	2026-08-26T00:49:23+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-mod:tg	41.68	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k:tg	LLMWorkerHost	2026-08-26T00:49:36+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k:tg	45.95	tokens/s	1.03x baseline; acceptance 0.140
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k:wording	LLMWorkerHost	2026-08-26T00:49:36+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k:wording	identical		hash b1b72eae8c9b1780 vs baseline b1b72eae8c9b1780
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k@r2:tg	LLMWorkerHost	2026-08-26T00:49:49+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k@r2:tg	45.22	tokens/s	1.01x baseline; acceptance 0.140
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k@r2:wording	LLMWorkerHost	2026-08-26T00:49:49+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k@r2:wording	identical		hash b1b72eae8c9b1780 vs baseline b1b72eae8c9b1780
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k@r3:tg	LLMWorkerHost	2026-08-26T00:50:02+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k@r3:tg	43.77	tokens/s	0.98x baseline; acceptance 0.140
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k@r3:wording	LLMWorkerHost	2026-08-26T00:50:02+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:ngram-map-k@r3:wording	identical		hash b1b72eae8c9b1780 vs baseline b1b72eae8c9b1780
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:draft-simple+bge-m3-Q8_0:tg	LLMWorkerHost	2026-08-26T00:50:17+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:draft-simple+bge-m3-Q8_0:tg	46.38	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:draft-simple+bge-reranker-v2-m3-Q8_0:tg	LLMWorkerHost	2026-08-26T00:50:31+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:draft-simple+bge-reranker-v2-m3-Q8_0:tg	43.36	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:draft-simple+Llama-3.2-3B-Instruct-Q4_K_M:tg	LLMWorkerHost	2026-08-26T00:50:47+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:draft-simple+Llama-3.2-3B-Instruct-Q4_K_M:tg	43.50	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
speculative||vulkan|v0.2.0|Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:draft-simple+Mankei-1B-Chat-q4_k_m:tg	LLMWorkerHost	2026-08-26T00:51:01+0200	speculative		vulkan	v0.2.0	Qwen2.5-Coder-14B-Instruct-Q4_K_M:prose:draft-simple+Mankei-1B-Chat-q4_k_m:tg	46.63	tokens/s	speculation did not engage -- the server took the flag and drafted nothing
