model	build	ncmoe	pp_t_per_s	tg_t_per_s	vram_mib	seconds
qwen3-30b-a3b	b10273	0	2246.30	191.83	34	17
qwen3-30b-a3b	b10273	4	858.24	94.45	34	21
qwen3-30b-a3b	b10273	8	544.30	60.55	34	21
qwen3-30b-a3b	b10273	12	396.18	49.75	34	23
qwen3-30b-a3b	b10273	16	268.12	42.50	34	22
qwen3-30b-a3b	b10273	24	201.57	33.46	34	29
qwen3-30b-a3b	b10273	32	142.44	27.27	34	32
qwen3-30b-a3b	b10273	48	103.62	19.67	34	37
gpt-oss-20b	b10273	0	1889.74	202.76	34	12
gpt-oss-20b	b10273	4	1030.14	76.87	34	9
gpt-oss-20b	b10273	8	618.69	51.28	34	11
gpt-oss-20b	b10273	12	476.25	37.54	34	13
gpt-oss-20b	b10273	16	389.32	30.89	34	14
gpt-oss-20b	b10273	24	273.44	21.04	34	19
gpt-oss-20b	b10273	32	272.69	21.59	34	19
gpt-oss-20b	b10273	48	274.37	20.99	34	19
qwen3.6-35b-a3b	b10273	0	1984.77	135.18	34	21
qwen3.6-35b-a3b	b10273	4	630.88	85.40	34	26
qwen3.6-35b-a3b	b10273	8	384.55	66.17	34	28
qwen3.6-35b-a3b	b10273	12	285.10	51.62	34	30
qwen3.6-35b-a3b	b10273	16	203.13	42.87	34	29
qwen3.6-35b-a3b	b10273	24	140.53	34.90	34	34
qwen3.6-35b-a3b	b10273	32	103.56	29.47	34	40
qwen3.6-35b-a3b	b10273	48	71.22	24.43	34	45
