round	name	model	build	test	split	ts	devices	env	t_s	sd	ar_per_graph	bytes_per_ar	us_graph	us_sub	us_ar	us_sync	us_p0src	us_p0dst	us_copy	us_add	us_zero
round1	A0_xtx_alone	qwen35 9B Q4_K - Medium	df03399b8	pp512	none	0.00	auto		2867.72	39.96											
round1	A0_xtx_alone	qwen35 9B Q4_K - Medium	df03399b8	tg128	none	0.00	auto		111.93	0.25											
round1	A1_2070_alone	qwen35 9B Q4_K - Medium	df03399b8	pp512	none	0.00	auto		1397.79	0.65											
round1	A1_2070_alone	qwen35 9B Q4_K - Medium	df03399b8	tg128	none	0.00	auto		49.83	0.15											
round1	B_tensor_1dev	qwen35 9B Q4_K - Medium	df03399b8	pp512	tensor	0.00	Vulkan0		2719.51	75.41											
round1	B_tensor_1dev	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	0.00	Vulkan0		93.76	0.21											
round1	C_tensor_1_0	qwen35 9B Q4_K - Medium	df03399b8	pp512	tensor	1.00	auto		679.77	79.77											
round1	C_tensor_1_0	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	1.00	auto		38.25	1.02											
round1	D_tensor_1_1	qwen35 9B Q4_K - Medium	df03399b8	pp512	tensor	1.00/1.00	auto		855.13	0.74											
round1	D_tensor_1_1	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	1.00/1.00	auto		41.60	0.24											
round1	D_tensor_1_3	qwen35 9B Q4_K - Medium	df03399b8	pp512	tensor	1.00/3.00	auto		747.91	0.63											
round1	D_tensor_1_3	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	1.00/3.00	auto		34.55	0.07											
round1	D_tensor_3_1	qwen35 9B Q4_K - Medium	df03399b8	pp512	tensor	3.00/1.00	auto		828.02	4.13											
round1	D_tensor_3_1	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	3.00/1.00	auto		43.17	0.23											
round1	E_tensor_3_1_novis	qwen35 9B Q4_K - Medium	df03399b8	pp512	tensor	3.00/1.00	auto	GGML_VK_DISABLE_HOST_VISIBLE_VIDMEM=1	760.55	0.72											
round1	E_tensor_3_1_novis	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	3.00/1.00	auto	GGML_VK_DISABLE_HOST_VISIBLE_VIDMEM=1	34.81	0.45											
round1	F_layer_1_0	qwen35 9B Q4_K - Medium	df03399b8	pp512	layer	1.00	auto		2845.46	62.02											
round1	F_layer_1_0	qwen35 9B Q4_K - Medium	df03399b8	tg128	layer	1.00	auto		110.02	0.13											
round1	F_layer_3_1	qwen35 9B Q4_K - Medium	df03399b8	pp512	layer	3.00/1.00	auto		2062.77	2.64											
round1	F_layer_3_1	qwen35 9B Q4_K - Medium	df03399b8	tg128	layer	3.00/1.00	auto		69.93	0.22											
round2	pp_B_1dev	qwen35 9B Q4_K - Medium	df03399b8	pp512	tensor	0.00	Vulkan0		2694.27	79.20	0.0	0	165484	165465	0	0.0			0.0	0.0	0.0
round2	pp_C_1_0	qwen35 9B Q4_K - Medium	df03399b8	pp512	tensor	1.00	auto		694.91	87.62	64.0	16777216	853466	3904	849556	4516.4			8694.8	54.9	5.7
round2	pp_D_3_1	qwen35 9B Q4_K - Medium	df03399b8	pp512	tensor	3.00/1.00	auto		831.68	0.82	64.0	16777216	608296	5180	603110	3395.3			5991.8	34.3	0.0
round2	tg_B_1dev	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	0.00	Vulkan0		93.52	0.24	0.0	0	8388	8386	0	0.0			0.0	0.0	0.0
round2	tg_C_1_0	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	1.00	auto		39.65	0.47	64.0	32768	23820	3145	20670	201.0			89.8	25.8	5.3
round2	tg_D_1_1	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	1.00/1.00	auto		41.58	0.19	64.0	32768	22163	4412	17746	183.8			70.5	22.0	0.0
round2	tg_D_3_1	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	3.00/1.00	auto		42.00	0.20	64.0	32768	22443	4419	18020	177.8			78.0	24.6	0.0
round2	tg_E_3_1_novis	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	3.00/1.00	auto	GGML_VK_DISABLE_HOST_VISIBLE_VIDMEM=1	36.03	0.58	64.0	32768	25514	4190	21320	175.3			133.8	22.8	0.0
round3	27b_tg_A0	qwen35 27B Q4_K - Medium	df03399b8	tg128	none	0.00	auto		38.99	0.12											
round3	27b_tg_B_1dev	qwen35 27B Q4_K - Medium	df03399b8	tg128	tensor	0.00	Vulkan0		34.68	0.09	0.0	0	25332	25329	0	0.0	0.0	0.0	0.0	0.0	0.0
round3	27b_tg_C_1_0	qwen35 27B Q4_K - Medium	df03399b8	tg128	tensor	1.00	auto		16.36	0.26	128.0	40960	57814	6794	51010	259.0	222.9	35.5	104.8	22.9	10.5
round3	27b_tg_D_3_1	qwen35 27B Q4_K - Medium	df03399b8	tg128	tensor	3.00/1.00	auto		19.22	0.61	128.0	40960	49112	9183	39921	211.2	173.1	37.5	74.9	24.5	0.0
round3	27b_tg_F_layer_3_1	qwen35 27B Q4_K - Medium	df03399b8	tg128	layer	3.00/1.00	auto		24.70	0.04											
round3	3b_tg_A0	llama 3B Q4_K - Medium	df03399b8	tg128	none	0.00	auto		253.77	3.63											
round3	3b_tg_B_1dev	llama 3B Q4_K - Medium	df03399b8	tg128	tensor	0.00	Vulkan0		185.46	1.09	0.0	0	4161	4159	0	0.0	0.0	0.0	0.0	0.0	0.0
round3	3b_tg_C_1_0	llama 3B Q4_K - Medium	df03399b8	tg128	tensor	1.00	auto		56.27	4.27	56.0	24576	16873	2465	14405	139.4	103.5	35.4	83.6	24.4	8.5
round3	3b_tg_D_3_1	llama 3B Q4_K - Medium	df03399b8	tg128	tensor	3.00/1.00	auto		56.77	1.38	56.0	24576	16319	3051	13263	131.9	93.5	37.8	77.7	25.8	0.0
round3	9b_tg_C_1_0	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	1.00	auto		38.96	0.73	64.0	32768	24537	3532	21001	200.2	164.3	35.4	93.8	27.1	5.6
round3	9b_tg_D_3_1	qwen35 9B Q4_K - Medium	df03399b8	tg128	tensor	3.00/1.00	auto		43.14	0.14	64.0	32768	21932	4317	17610	175.4	138.2	36.7	74.0	24.7	0.0
